ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00131919;Hugo;Ekitiké;Ekitiké;Hugo Ekitiké;Eintracht Frankfurt;FORWARD;2800000;62;3.35
pl-k00132180;Dennis;Seimen;Seimen;Dennis Seimen;VfB Stuttgart;GOALKEEPER;1000000;0;0.0
pl-k00132183;Tim;Drexler;Drexler;Tim Drexler;TSG Hoffenheim;DEFENDER;600000;12;4.07
pl-k00132187;Tom;Bischof;Bischof;Tom Bischof;TSG Hoffenheim;MIDFIELDER;1200000;29;4.0
pl-k00132188;Laurin;Ulrich;Ulrich;Laurin Ulrich;VfB Stuttgart;MIDFIELDER;500000;0;0.0
pl-k00132190;Dzenan;Pejcinovic;Pejcinovic;Dzenan Pejcinovic;VfL Wolfsburg;FORWARD;500000;8;0.0
pl-k00132197;Sidney;Raebiger;Raebiger;Sidney Raebiger;Eintracht Frankfurt;MIDFIELDER;500000;0;0.0
pl-k00132204;Frank;Feller;Feller;Frank Feller;1. FC Heidenheim;GOALKEEPER;500000;0;0.0
pl-k00132205;Lukas;Ullrich;Ullrich;Lukas Ullrich;Bor. Mönchengladbach;DEFENDER;500000;8;0.0
pl-k00132207;Nelson;Weiper;Weiper;Nelson Weiper;1. FSV Mainz 05;FORWARD;1600000;10;4.0
pl-k00132800;Victor;Boniface;Boniface;Victor Boniface;Bayer 04 Leverkusen;FORWARD;2600000;205;2.63
pl-k00132863;Yorbe;Vertessen;Vertessen;Yorbe Vertessen;1. FC Union Berlin;FORWARD;1700000;29;4.0
pl-k00133398;Benjamin;Sesko;Sesko;Benjamin Sesko;RB Leipzig;FORWARD;2600000;158;3.28
pl-k00133553;Arne;Engels;Engels;Arne Engels;FC Augsburg;MIDFIELDER;1700000;92;3.66
pl-k00133799;Soumaila;Coulibaly;Coulibaly;Soumaila Coulibaly;Borussia Dortmund;DEFENDER;1000000;0;0.0
pl-k00134047;Rasmus;Carstensen;R. Carstensen;Rasmus Carstensen;1. FC Köln;DEFENDER;1200000;14;4.33
pl-k00134219;Abdoulaye;Kamara;Kamara;Abdoulaye Kamara;Borussia Dortmund;MIDFIELDER;600000;0;0.0
pl-k00134830;Noah;Mbamba;Mbamba;Noah Mbamba;Bayer 04 Leverkusen;MIDFIELDER;1000000;7;0.0
pl-k00135025;Castello;Lukeba;Lukeba;Castello Lukeba;RB Leipzig;DEFENDER;2700000;139;3.28
pl-k00135329;Amin;Sarr;Sarr;Amin Sarr;VfL Wolfsburg;FORWARD;1800000;8;4.36
pl-k00135660;Senne;Lynen;Lynen;Senne Lynen;Werder Bremen;MIDFIELDER;1800000;102;3.6
pl-k00136371;Jonas;Nickisch;Nickisch;Jonas Nickisch;1. FC Köln;GOALKEEPER;500000;0;0.0
pl-k00136673;El Chadaille;Bitshiabu;Bitshiabu;El Chadaille Bitshiabu;RB Leipzig;DEFENDER;2000000;12;0.0
pl-k00136677;Jordy;Makengo;Makengo;Jordy Makengo;SC Freiburg;DEFENDER;800000;46;3.77
pl-k00137416;Ayman;Aourir;Aourir;Ayman Aourir;Bayer 04 Leverkusen;MIDFIELDER;500000;0;0.0
pl-k00137935;Fabio;Chiarodia;Chiarodia;Fabio Chiarodia;Bor. Mönchengladbach;DEFENDER;1000000;16;3.5
pl-k00138204;Ignacio;Ferri Julia;Ferri Julia;Ignacio Ferri Julia;Eintracht Frankfurt;FORWARD;500000;19;0.0
pl-k00138440;Marcel;Lubik;Lubik;Marcel Lubik;FC Augsburg;GOALKEEPER;500000;0;0.0
pl-k00138505;Luka;Janes;Janes;Luka Janes;1. FC Heidenheim;MIDFIELDER;500000;0;0.0
pl-k00138506;Seedy;Jarju;Jarju;Seedy Jarju;1. FC Heidenheim;DEFENDER;500000;0;0.0
pl-k00138529;Aleksandar;Pavlovic;Pavlovic;Aleksandar Pavlovic;Bayern München;MIDFIELDER;1000000;103;3.13
pl-k00138699;Mathys;Tel;Tel;Mathys Tel;Bayern München;FORWARD;2300000;116;3.18
